Country_Name,Country_Code,Time,Time_Code,ST_INT_DPRT,ST_INT_ARVL,ST_INT_XPND_CD,ST_INT_XPND_MP_ZS,ST_INT_RCPT_XP_ZS,SP_POP_GROW,SP_POP_TOTL,AG_LND_TOTL_K2,NY_GDP_MKTP_CD,NY_GDP_MKTP_KD_ZG,ST_INT_TRNX_CD,SP_DYN_LE00_IN,IS_AIR_DPRT,NY_GNP_MKTP_KD_ZG,NY_GNP_PCAP_KD_ZG,SE_PRM_CUAT_ZS,SE_SEC_CUAT_LO_ZS
Singapore,SGP,2017,YR2017,9889000,17425000,24588000000,4.941490056,3.381600815,0.08859547,5612253,709,3.43193E+11,4.661435049,,83.09512195,203615,,,86.01595306,80.00772858
Singapore,SGP,2018,YR2018,10378000,18508000,25346000000,4.551138244,3.066715429,0.469704299,5638676,709,3.76998E+11,3.661304994,,83.29756098,208787,,,87.90879822,81.4235611
Singapore,SGP,2019,YR2019,10711000,19116000,,,,1.144283307,5703569,709,3.75473E+11,1.095672567,,83.59512195,215014,,,88.50759888,82.17804718
Solomon Islands,SLB,2012,YR2012,,23899.99962,68099998.47,10.68365833,10.56876997,2.650329874,556066,27990,1191045573,1.864635329,200000.003,71.296,6659.698359,4.493482875,1.76043821,,
Solomon Islands,SLB,2013,YR2013,,24399.99962,68300003.05,9.58540876,12.29272334,2.707823362,571329,27990,1284763287,5.331720602,600000.0238,71.601,11352,10.953042,7.988942014,,
Solomon Islands,SLB,2014,YR2014,,20100.00038,65599998.47,9.594708712,11.41304118,2.719416753,587079,27990,1335584912,1.049990229,1200000.048,71.896,11532,-0.312769702,-2.987152328,,
Solomon Islands,SLB,2015,YR2015,,21600.00038,60700000.76,9.78550918,11.40823329,2.697834286,603133,27990,1307082934,1.417020759,300000.0119,72.173,13107,0.674930124,-2.004802751,,
Solomon Islands,SLB,2016,YR2016,,23200.00076,74900001.53,11.95293328,12.7960241,2.66748791,619438,27990,1378543909,5.873144496,200000.003,72.424,13711,4.357384746,1.610463894,,
Solomon Islands,SLB,2017,YR2017,,25700.00076,72699996.95,10.70542666,13.30220048,2.643311669,636030,27990,1483793468,5.346589325,100000.0015,72.645,14365,6.71793504,3.934003499,,
Solomon Islands,SLB,2018,YR2018,,27899.99962,53000000,7.08355669,13.51635859,2.611085225,652856,27990,1574622018,3.943123751,100000.0015,72.835,14365,4.707675316,2.009053652,,
Solomon Islands,SLB,2019,YR2019,,28899.99962,62500000,8.301138637,13.86792322,2.565392823,669821,27990,1570093229,1.204469119,100000.0015,72.996,11094,1.38931528,-1.178639045,,
Trinidad and Tobago,TTO,2012,YR2012,,504000,223000000,1.884666499,4.728247921,0.644091695,1344814,5130,25781712703,1.342687023,27000000,72.382,36648.07379,,,,
Trinidad and Tobago,TTO,2013,YR2013,,467000,116000000,0.970198762,4.470322194,0.659178039,1353708,5130,27294453245,2.270222834,27000000,72.582,36564,,,,
Trinidad and Tobago,TTO,2014,YR2014,,455000,168000000,1.57017437,5.251012597,0.635411345,1362337,5130,27642525749,-0.855308657,44000000,72.768,36216,,,,
Trinidad and Tobago,TTO,2015,YR2015,,519000,253000000,2.422356289,6.294829059,0.585143888,1370332,5130,25191551350,1.783567959,46000000,72.941,35127,,,,
Trinidad and Tobago,TTO,2016,YR2016,,492000,230000000,2.341746468,7.483755411,0.526294978,1377563,5130,22373566810,-6.31755344,43000000,73.1,29892,,,,
Trinidad and Tobago,TTO,2017,YR2017,,465000,147000000,1.540264763,6.748463763,0.470521283,1384060,5130,23180107752,-2.681210792,50000000,73.245,32589,,,,
Trinidad and Tobago,TTO,2018,YR2018,,501000,149000000,1.629548694,4.675908761,0.416814325,1389841,5130,23820742957,-0.706435308,51000000,73.38,33475,,,,
Trinidad and Tobago,TTO,2019,YR2019,,480000,133000000,1.67076471,5.028323815,0.368284069,1394969,5130,23886216403,-0.171437013,47000000,73.507,35175,,,,
San Marino,SMR,2012,YR2012,,1869000,,,,1.405336972,32103,60,1604779648,-7.044534413,,,,,,,
San Marino,SMR,2013,YR2013,,1905000,,,,1.395076526,32554,60,1678841812,-0.783972125,,,,,,,
San Marino,SMR,2014,YR2014,,2004000,,,,1.181783355,32941,60,1673973695,-0.7023705,,,,,,,
San Marino,SMR,2015,YR2015,,1888000,,,,0.993800751,33270,60,1419394763,2.291503095,,,,,,,
San Marino,SMR,2016,YR2016,,2000000,,,,0.697889703,33503,60,1468377242,2.344412118,,,,,,,
San Marino,SMR,2017,YR2017,,1937000,,,,0.50019457,33671,60,1528630705,0.2582599,,,,,,,
San Marino,SMR,2018,YR2018,,1874000,,,,0.335038487,33784,60,1655300897,1.493903998,,,,,,96.59699249,82.96025085
San Marino,SMR,2019,YR2019,,1904000,,,,0.236518559,33864,60,1616231696,2.065690829,,,,,,,
Cabo Verde,CPV,2012,YR2012,,482000,135000000,11.26733918,58.60952294,1.271405705,505241,4030,1741809809,1.081918279,8000000,71.445,10555.22865,0.741550691,-0.531175232,,
Cabo Verde,CPV,2013,YR2013,,503000,127000000,10.96162289,57.4129478,1.27811404,511740,4030,1850470042,0.802797601,7000000,71.661,8148,1.599151248,0.308861484,,
Cabo Verde,CPV,2014,YR2014,,494000,115000000,9.31209676,50.67651983,1.269123534,518276,4030,1859898513,0.611212666,5000000,71.886,7728,-0.965877526,-2.214800927,,
Cabo Verde,CPV,2015,YR2015,,520000,109000000,12.03586736,57.5770253,1.239498293,524740,4030,1596800287,1.006863707,8000000,72.117,7989,2.336840646,1.076206164,51.92240906,29.35165977
Cabo Verde,CPV,2016,YR2016,,598000,79000000,7.896200695,55.49185585,1.212273815,531140,4030,1663008687,4.705791509,8000000,72.347,8745,4.836457624,3.573225089,,
Cabo Verde,CPV,2017,YR2017,,668000,100000000,8.477594606,56.69471642,1.190125956,537499,4030,1769787215,3.702039188,22000000,72.57,4868,3.838132421,2.609652584,,
Cabo Verde,CPV,2018,YR2018,,710000,112000000,8.37575176,53.96351441,1.158842966,543764,4030,1966501118,4.531161684,27000000,72.782,9385,5.701989651,4.484139692,,
Cabo Verde,CPV,2019,YR2019,,758000,107000000,8.304827835,56.34247828,1.128657862,549936,4030,1981845741,5.66775246,22000000,72.981,10205,5.939610362,4.750636963,,
Seychelles,SYC,2012,YR2012,45000,216000,58000000,4.098697693,34.79916596,0.98098019,88303,460,1059496470,1.260828834,23000000,74.27560976,11262,,,,
Seychelles,SYC,2013,YR2013,47000,237000,62000000,4.008015874,33.24366553,1.846876093,89949,460,1328089686,6.018076825,25000000,73.1195122,14592,,,,
Seychelles,SYC,2014,YR2014,50000,239000,65000000,4.102065766,35.02663124,1.555395709,91359,460,1387577763,4.504785244,28000000,73.22926829,14556,,,,
Seychelles,SYC,2015,YR2015,56000,296000,54000000,3.800481067,37.23763929,2.229795053,93419,460,1415998663,5.637314488,24000000,74.29512195,17124,,,,
Seychelles,SYC,2016,YR2016,68000,333000,92000000,6.139716237,37.32659647,1.33763478,94677,460,1490226454,5.353071513,39000000,74.3097561,19178,,,,
Seychelles,SYC,2017,YR2017,74000,382000,104000000,6.093381626,37.42992765,1.224033758,95843,460,1573428277,4.511094855,42000000,74.3,20539,,,,
Seychelles,SYC,2018,YR2018,72000,405000,101000000,5.436427505,36.40423071,0.954291918,96762,460,1636310049,3.198883963,33000000,72.84146341,18671,,,,
Seychelles,SYC,2019,YR2019,76000,428000,109000000,6.079733473,38.40383455,0.887925293,97625,460,1684228529,3.087480983,42000000,74.04634146,18704,,,,
"Bahamas, The",BHS,2012,YR2012,,5940000,384000000,7.799922245,63.4761775,1.105707898,363581,10010,10720500000,3.086879177,98000000,72.424,30640,2.857530254,1.726490937,,
"Bahamas, The",BHS,2013,YR2013,,6151000,362000000,7.550771639,63.565971,0.980106184,367162,10010,10562800000,-2.863293945,100000000,72.62,34188,-3.494190547,-4.435429846,,
"Bahamas, The",BHS,2014,YR2014,,6320000,328000000,6.466797185,65.64109974,0.93876022,370625,10010,11176100000,1.84730294,116000000,72.847,53366,0.919517597,-0.0234417,,
"Bahamas, The",BHS,2015,YR2015,,6112000,347000000,8.199638555,74.76501263,0.959964409,374200,10010,11861900000,0.996800846,109000000,73.088,48535,1.443816849,0.474651576,,
"Bahamas, The",BHS,2016,YR2016,,6265000,440000000,9.849661442,79.6401911,0.990005733,377923,10010,11834600000,-0.857664319,111000000,73.329,49095,-1.225083684,-2.198136432,,
"Bahamas, The",BHS,2017,YR2017,,6136000,554000000,11.25680759,78.4280042,1.007285341,381749,10010,12357600000,3.050157348,183000000,73.554,48017,3.931149969,2.889521623,,
"Bahamas, The",BHS,2018,YR2018,,6622000,519000000,10.14404269,79.04232343,1.012800167,385635,10010,12755800000,1.831007794,187000000,73.752,54000,-1.645926063,-2.637028871,,
